QNO,Q1,Q2,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5f,Q5g,Q5h,Q5i,Q6,Q7a,Q7b,Q7c,Q7d,Q7e,Q7f,Q8a,Q8b,Q8c,Q8d,Q9,Q10,Q11,Q12,Q13,Q14
192,1,1,1,0,1,3,3,1,1,1,1,1,1,3,1,4,4,1,1,1,25,25,25,25,4,4,2,0,4,3
193,1,3,2,1,1,3,3,4,4,4,4,4,4,2,2,2,3,2,3,2,30,70,0,0,4,3, ,0,3,3
194,0, , , , , , , , , , , , , , , , , , , , , , , ,3,4,2,0,3,3
195,0, , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,0,3,3
196,0, , , , , , , , , , , , , , , , , , , , , , , ,4,4,2,0,3,2
197,1,3,1,1,1,3,4,4,4,4,4,4,4,1,3,3,3,3,3,3,25,25,25,25,4,4,2,0,3,2
198,1,4,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,100,0,0,3,4,2,0,2,2
199,1,4,4,1,1,2,2,4,4,4,3,3,3,3,4,4,3,2,2,2,14,85,1,0,4,3,2,1,3,2
200,0, , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,1,2,4
201,1,2,5,2,1,2,3,3,2,3,3,2,4,3,3,3,3,2,3,2,0,100,0,0,3,3,2,1,3,2
202,1,2,1,2,1,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,0,100,0,0,3,4,2,1,4,3
203,1,2,1,1,1,2,3,3,3,4,4,4,4,3,2,4,1,2,3,2,0,100,0,0,2,2,4,1,2,3
204,1,1,.2,3,1,3,3,4,4,4,4,2,4,3,4,4,4,1,4,1,0,100,0,0,4,4,2,1,3,5
205,1,2,1,2,1,4,3,4,4,4,4,3,4,3,4,4,4,4,4,1,0,100,0,0,3,4,2,1,4,3
206,1,3,1,1,1,4,4,4,4,4,4,4,4,3,4,1,4,1,4,3,0,90,10,0,1,1,2,1,3,3
